,ticker,ratings
263,FDX,Moderate Buy
264,FE,Moderate Buy
265,FFIV,Moderate Buy
266,FGP,Strong Sell
267,FIS,Strong Buy
268,FISV,Moderate Buy
269,FITB,Moderate Buy
270,FIZZ,Hold
271,FLIR,Strong Buy
272,FLS,Moderate Buy
273,FLT,Moderate Buy
274,FMC,Strong Buy
275,FOX,Strong Buy
276,FOXA,Moderate Buy
277,FRC,Moderate Buy
278,FRT,Moderate Buy
279,FTI,Strong Buy
280,FTNT,Moderate Buy
281,FTV,Moderate Buy
282,GD,Moderate Buy
283,GE,Moderate Buy
284,GEF,Hold
285,GFI,Moderate Sell
286,GGAL,Moderate Sell
287,GHL,Hold
288,GILD,Strong Buy
289,GIS,Moderate Buy
290,GL,Moderate Buy
291,GLAD,Hold
292,GLAPY,Moderate Sell
293,GLP,Moderate Sell
294,GLW,Moderate Buy
295,GM,Moderate Buy
296,GOOG,Strong Buy
297,GOOGL,Strong Buy
298,GPC,Hold
299,GPN,Moderate Buy
300,GPS,Hold
301,GRMN,Hold
302,GS,Moderate Buy
303,GSH,Moderate Sell
304,GTX,Moderate Sell
305,GWW,Hold
306,HAL,Strong Buy
307,HAS,Moderate Buy
308,HBAN,Hold
309,HBI,Moderate Buy
310,HCA,Strong Buy
311,HCP,Moderate Buy
312,HD,Moderate Buy
313,HE,Moderate Sell
314,HES,Moderate Buy
315,HFC,Hold
316,HI,Strong Buy
317,HIG,Strong Buy
318,HII,Hold
319,HLT,Moderate Buy
320,HMSNF,Hold
321,HOG,Hold
322,HOLX,Moderate Buy
323,HON,Strong Buy
324,HP,Moderate Buy
325,HPE,Hold
326,HPQ,Hold
327,HRB,Moderate Buy
328,HRL,Hold
329,HRZN,Moderate Buy
330,HSBC,Moderate Sell
331,HSIC,Hold
332,HSNGY,Moderate Buy
333,HST,Moderate Buy
334,HSY,Hold
335,HUM,Strong Buy
336,IBM,Moderate Buy
337,ICE,Moderate Buy
338,IDA,Moderate Sell
339,IDXX,Strong Buy
340,IEP,Strong Sell
341,IEX,Moderate Buy
342,IFF,Moderate Buy
343,ILMN,Moderate Buy
344,IMO,Hold
345,INCY,Moderate Buy
346,INFO,Moderate Buy
347,INTC,Hold
348,INTU,Moderate Buy
349,INVA,Strong Sell
350,IP,Hold
351,IPG,Moderate Buy
352,IPGP,Moderate Buy
353,IQV,Strong Buy
354,IR,Moderate Buy
355,IRM,Moderate Buy
356,IRS,Strong Sell
357,ISEE,Hold
358,ISRG,Strong Buy
359,IT,Moderate Buy
360,ITW,Hold
361,IVZ,Hold
362,JBHT,Hold
363,JCI,Moderate Buy
364,JCP,Moderate Sell
365,JDWPY,Strong Sell
366,JEC,Strong Buy
367,JEF,Moderate Buy
368,JFEEF,Moderate Sell
369,JKHY,Hold
370,JNJ,Moderate Buy
371,JNPR,Hold
372,JPM,Moderate Buy
373,JWN,Hold
374,K,Moderate Buy
375,KB,Hold
376,KEY,Moderate Buy
377,KEYS,Strong Buy
378,KGFHY,Moderate Sell
379,KHC,Hold
380,KIM,Hold
381,KKPNF,Moderate Buy
382,KLAC,Strong Buy
383,KMB,Hold
384,KMI,Moderate Buy
385,KMX,Moderate Buy
386,KO,Moderate Buy
387,KR,Moderate Buy
388,KSS,Moderate Buy
389,KSU,Moderate Buy
390,KUBTY,Moderate Buy
391,KYOCY,Moderate Sell
392,L,Hold
393,LB,Moderate Buy
394,LDOS,Moderate Buy
395,LEG,Moderate Buy
396,LEN,Strong Buy
397,LGRVF,Moderate Sell
398,LH,Moderate Buy
399,LHX,Strong Buy
400,LIN,Moderate Buy
401,LKQ,Strong Buy
402,LLY,Moderate Buy
